gene_set_source,gene_set_id,gene_set_label,gene_set_type,gene_set_size,cell_class,within_species_meanROC,human_meanROC,marmoset_meanROC,mouse_meanROC,human_marmoset_meanROC,human_mouse_meanROC,marmoset_mouse_meanROC
HGNC,1065,Insulin like growth factor binding proteins,Other,6,GABAergic,0.645416026,0.719953506,0.552702512,0.663592061,0.531931998,0.513297801,0.516399971
SynGO,GO:0097107,postsynaptic density assembly,Signaling,5,Glutamatergic,0.645324362,0.677904174,0.554207316,0.703861595,0.553766429,0.620698067,0.481533652
HGNC,277,Potassium two pore domain channel subfamily K ,Ion Channel,15,Glutamatergic,0.645099118,0.641868965,0.601368886,0.692059502,0.57447247,0.558158063,0.555783027
HGNC,670,Oxysterol binding proteins,Other,12,Glutamatergic,0.64483945,0.629333528,0.665688311,0.63949651,0.560835653,0.532133744,0.530630749
HGNC,617,Kelch like,Other,42,GABAergic,0.643647174,0.678170002,0.5820937,0.67067782,0.555139531,0.552502164,0.55241018
HGNC,556,Fibulins,Other,8,Glutamatergic,0.643489288,0.627474758,0.643443367,0.659549739,0.495497289,0.49430764,0.540930553
HGNC,1923,AH/BAR family Rho GTPase activating proteins,Other,14,GABAergic,0.643060513,0.676332907,0.670801325,0.582047308,0.530538937,0.51162271,0.58923842
HGNC,832,C2 domain containing phospholipases,Other,19,Glutamatergic,0.642641871,0.622945641,0.651309609,0.653670363,0.57198361,0.494937156,0.525111077
SynGO,GO:1905806,regulation of synapse disassembly,Signaling,8,Glutamatergic,0.642631148,0.619620687,0.65529276,0.652979996,0.592346306,0.578828674,0.525239133
SynGO,GO:0016079,synaptic vesicle exocytosis,Signaling,9,GABAergic,0.642193271,0.645522555,0.648417445,0.632639812,0.564004888,0.492824607,0.492991414
HGNC,661,Netrins,Cell Adhesion,6,GABAergic,0.642128851,0.635005193,0.617145903,0.674235458,0.570885119,0.502633067,0.570545674
HGNC,947,ADAMTS like,Other,7,Glutamatergic,0.642066939,0.634680883,0.679152203,0.61236773,0.546538636,0.517486313,0.554892629
HGNC,389,RAS type GTPase family,Other,35,Glutamatergic,0.641836976,0.655054442,0.631043767,0.639412719,0.56897808,0.543453041,0.501813272
HGNC,865,Anoctamins,Other,10,GABAergic,0.641783966,0.602294801,0.642305253,0.680751846,0.526554365,0.465096823,0.555596262
HGNC,184,Sodium voltage-gated channels,Ion Channel,13,GABAergic,0.640526151,0.699996947,0.630272392,0.591309115,0.583652312,0.557226473,0.534153105
HGNC,572,Glypicans,Signaling,6,Glutamatergic,0.640483282,0.66228014,0.566771692,0.692398013,0.549701255,0.502407628,0.488437755
HGNC,1641,C1q domain containing,Other,33,Glutamatergic,0.6403474,0.627725053,0.607467947,0.685849199,0.559179443,0.536366736,0.53316846
HGNC,1079,Phosphoinositide phosphatases,Other,32,Glutamatergic,0.640318456,0.64306357,0.668901307,0.60899049,0.587288323,0.488869415,0.554753226
HGNC,1474,Tetraspan vesicle membrane proteins,Other,13,GABAergic,0.640300927,0.63880743,0.608398602,0.673696749,0.583778722,0.608200421,0.555981393
SynGO,GO:0098993,anchored component of synaptic vesicle membrane,Signaling,18,Glutamatergic,0.640047085,0.617728051,0.621658225,0.68075498,0.5835673,0.539569118,0.559789647
HGNC,1661,Chordin family,Other,5,GABAergic,0.639431831,0.645551786,0.648693543,0.624050165,0.593904475,0.545865164,0.450856688
HGNC,769,Tetratricopeptide repeat domain containing,Other,115,Glutamatergic,0.639380772,0.683926591,0.595073289,0.639142435,0.566636735,0.531200506,0.532753736
SynGO,GO:0099149,regulation of postsynaptic neurotransmitter receptor endocytosis,Signaling,27,GABAergic,0.63917313,0.645585933,0.627543689,0.64438977,0.563049728,0.531303968,0.530255082
HGNC,1838,Small nucleolar RNA host genes,Other,181,Glutamatergic,0.638831592,0.638789669,0.611934814,0.665770295,0.557591335,0.533089044,0.500633961
HGNC,1835,Small nucleolar RNA protein coding host genes,Other,145,Glutamatergic,0.638831592,0.638789669,0.611934814,0.665770295,0.557591335,0.533089044,0.500633961
HGNC,1097,"Myosins, class I",Other,8,GABAergic,0.638760955,0.614454023,0.618667268,0.683161575,0.547643589,0.519135065,0.536485859
HGNC,769,Tetratricopeptide repeat domain containing,Other,115,GABAergic,0.638714093,0.654778854,0.605779741,0.655583683,0.572116399,0.524113904,0.52004441
SynGO,GO:0016079,synaptic vesicle exocytosis,Signaling,9,Glutamatergic,0.638655531,0.663463332,0.607145065,0.645358196,0.588926403,0.482685482,0.540935814
HGNC,301,Chloride calcium-activated channels,Ion Channel,14,GABAergic,0.638610867,0.600829844,0.63815334,0.676849418,0.525552266,0.464811933,0.547880628
HGNC,765,Synaptotagmins,Other,17,Glutamatergic,0.638518961,0.64725053,0.599465867,0.668840485,0.580097643,0.543879166,0.514856269
SynGO,GO:0051963,regulation of synapse assembly,Signaling,9,Glutamatergic,0.638022335,0.62679372,0.629770803,0.657502482,0.596855932,0.592346334,0.537588597
HGNC,53,Adenylate cyclases,Signaling,10,GABAergic,0.63788515,0.624598641,0.592368706,0.696688102,0.53295561,0.559033686,0.58355188
HGNC,720,Regulators of G-protein signaling,Signaling,21,Glutamatergic,0.637858981,0.662857751,0.59761002,0.653109172,0.525590462,0.52972779,0.637758035
HGNC,1959,HECT domain containing,Other,28,GABAergic,0.637148112,0.695728553,0.626952947,0.588762838,0.592670314,0.531553105,0.527962607
HGNC,455,Bone morphogenetic proteins,Other,11,GABAergic,0.637115605,0.666696141,0.54599565,0.698655025,0.491904617,0.582277289,0.493406748
HGNC,389,RAS type GTPase family,Other,35,GABAergic,0.636961032,0.687348822,0.62405223,0.599482043,0.589379251,0.528561999,0.540498522
SynGO,GO:0098993,anchored component of synaptic vesicle membrane,Signaling,18,GABAergic,0.636905338,0.63441134,0.581219191,0.695085482,0.552655323,0.597343392,0.556840516
HGNC,1815,KCTD family,Other,21,GABAergic,0.636333866,0.548259589,0.636714032,0.724027976,0.531805514,0.538610387,0.563201971
HGNC,388,"RAB, member RAS oncogene GTPases",Other,65,Glutamatergic,0.636313942,0.659210914,0.608631477,0.641099436,0.573624179,0.539963019,0.541388291
HGNC,412,ATPases,Other,142,Glutamatergic,0.636224108,0.66234348,0.600707605,0.645621238,0.546930966,0.497416839,0.504074559
HGNC,467,Phospholipases,Other,42,Glutamatergic,0.635768172,0.657628223,0.658592571,0.591083722,0.558532465,0.518055827,0.535566487
HGNC,865,Anoctamins,Other,10,Glutamatergic,0.635387837,0.660910591,0.60789018,0.637362741,0.598829114,0.546343271,0.523675821
HGNC,835,C2 domain containing protein kinases,Other,10,GABAergic,0.634631838,0.620618921,0.62895396,0.654322634,0.549648613,0.519565864,0.525529571
HGNC,1828,SLIT and NTRK like family,Other,6,GABAergic,0.633927821,0.635384714,0.622114876,0.644283872,0.595903226,0.548939328,0.528469331
HGNC,435,Mannosyl-glycoprotein N-acetylglucosaminyltransferases,Other,11,GABAergic,0.633891469,0.598450698,0.691619336,0.611604372,0.589987265,0.517747805,0.542249698
HGNC,765,Synaptotagmins,Other,17,GABAergic,0.633858284,0.658720916,0.593764607,0.649089328,0.562986929,0.541069538,0.554635485
HGNC,506,Basic leucine zipper proteins,Other,52,GABAergic,0.633422178,0.631798512,0.589289605,0.679178418,0.554236819,0.541649514,0.489387983
HGNC,278,Chloride channels,Ion Channel,36,GABAergic,0.633145552,0.58841682,0.623675025,0.687344812,0.52678592,0.473663129,0.537514932
HGNC,1626,MARVEL domain containing,Other,28,GABAergic,0.632675445,0.651009927,0.602806128,0.64421028,0.582858385,0.580361775,0.561604956
HGNC,556,Fibulins,Other,8,GABAergic,0.632567212,0.652419351,0.54459453,0.700687754,0.452875019,0.562481056,0.472085808
HGNC,822,Synaptotagmin like tandem C2 proteins,Other,10,GABAergic,0.632225411,0.69102402,0.565170593,0.640481619,0.571582921,0.475593212,0.519745239
HGNC,947,ADAMTS like,Other,7,GABAergic,0.631303697,0.633848831,0.616328803,0.643733456,0.490159348,0.517341744,0.526521043
HGNC,1471,Tetraspan junctional complex superfamily,Other,87,Glutamatergic,0.630499853,0.624458066,0.631016316,0.636025178,0.576825881,0.541974798,0.587654256
HGNC,1203,Sodium voltage-gated channel alpha subunits,Ion Channel,9,GABAergic,0.63047097,0.629818921,0.649054712,0.612539277,0.563457569,0.558977525,0.522236958
HGNC,255,Potassium calcium-activated channels,Ion Channel,6,GABAergic,0.63003757,0.576246596,0.59360955,0.720256563,0.536586592,0.571437959,0.540771442
HGNC,169,Adrenoceptors,Signaling,9,GABAergic,0.629147734,0.661840387,0.608159767,0.617443047,0.53818757,0.517276437,0.586147091
HGNC,1437,M1 metallopeptidases,Other,13,GABAergic,0.629077384,0.623176196,0.617758401,0.646297555,0.57625842,0.573566071,0.511337489
HGNC,854,Neuropeptide receptors,Signaling,11,GABAergic,0.628690794,0.602956844,0.670554248,0.612561292,0.543713487,0.51479357,0.576671409
SynGO,GO:0048488,synaptic vesicle endocytosis,Signaling,28,GABAergic,0.627961771,0.628146881,0.598347115,0.657391317,0.53803946,0.52207576,0.536202731
HGNC,1432,G protein subunits gamma,Signaling,13,Glutamatergic,0.627643706,0.636481832,0.591407299,0.655041988,0.541036377,0.53288427,0.523178109
HGNC,53,Adenylate cyclases,Signaling,10,Glutamatergic,0.627032998,0.587371407,0.640524544,0.653203044,0.536542278,0.51347513,0.557336204
HGNC,757,SRY-box transcription factors,Other,20,GABAergic,0.626867311,0.672522129,0.521606186,0.68647362,0.515469879,0.58990742,0.504534528
HGNC,652,Mitogen-activated protein kinase cascade,Signaling,60,Glutamatergic,0.626815142,0.662787924,0.581784573,0.63587293,0.533624841,0.521092149,0.530544649
HGNC,396,A-kinase anchoring proteins,Other,31,GABAergic,0.626644627,0.675623947,0.549356556,0.654953377,0.550438962,0.554062883,0.526077776
HGNC,670,Oxysterol binding proteins,Other,12,GABAergic,0.626476878,0.677197898,0.605905519,0.596327217,0.579095562,0.515030497,0.538960337
HGNC,207,Prostaglandin receptors,Signaling,9,GABAergic,0.62593689,0.701134894,0.61263636,0.564039417,0.560028074,0.541866904,0.548654597
HGNC,1226,LY6/PLAUR domain containing,Other,35,GABAergic,0.62574363,0.611531106,0.548465845,0.717233939,0.516585,0.429939813,0.524747194
HGNC,455,Bone morphogenetic proteins,Other,11,Glutamatergic,0.624584097,0.683232711,0.618629613,0.571889968,0.514802813,0.445663898,0.554447509
HGNC,262,"G protein-coupled receptors, Class A orphans",Signaling,80,GABAergic,0.624394116,0.659743916,0.562515231,0.6509232,0.53631737,0.549289956,0.515456763
HGNC,460,Carbonic anhydrases,Other,18,GABAergic,0.623623206,0.661449612,0.574356688,0.635063318,0.548510931,0.528531664,0.494049288
SynGO,GO:1905806,regulation of synapse disassembly,Signaling,8,GABAergic,0.622987737,0.633270978,0.610326688,0.625365546,0.55330544,0.518122873,0.610142785
HGNC,184,Sodium voltage-gated channels,Ion Channel,13,Glutamatergic,0.62276024,0.693240134,0.587062373,0.587978214,0.576791521,0.53347808,0.541569438
SynGO,GO:0097091,synaptic vesicle clustering,Signaling,7,GABAergic,0.622664544,0.665239916,0.608456647,0.594297069,0.575773342,0.52510873,0.592311568
HGNC,301,Chloride calcium-activated channels,Ion Channel,14,Glutamatergic,0.621891942,0.637795345,0.595376722,0.63250376,0.586481948,0.542702023,0.524424714
HGNC,652,Mitogen-activated protein kinase cascade,Signaling,60,GABAergic,0.621868717,0.649981231,0.594245074,0.621379845,0.55585312,0.537125054,0.52350824
HGNC,836,UNC13 homologs,Other,5,Glutamatergic,0.621840602,0.677979482,0.607002669,0.580539655,0.598743394,0.470144513,0.560163466
HGNC,399,Aldo-keto reductases,Other,19,Glutamatergic,0.621427219,0.652589794,0.596834116,0.614857748,0.588028521,0.586488841,0.50039486
HGNC,1932,Transforming growth factor beta superfamily,Other,34,Glutamatergic,0.620587167,0.611961893,0.639729381,0.610070229,0.53685576,0.49144459,0.526392552
HGNC,1298,C-type lectin domain containing,Other,86,GABAergic,0.620512712,0.676904482,0.551201542,0.633432112,0.550464884,0.523767549,0.509243805
HGNC,1066,Lipid phosphatases,Other,45,GABAergic,0.619743433,0.602656176,0.610377312,0.64619681,0.568416376,0.541867047,0.50849025
HGNC,1677,Wnt enhanceosome complex,Other,18,GABAergic,0.619509661,0.614621257,0.603791326,0.6401164,0.564368927,0.521072347,0.588717556
HGNC,425,Beta 4-glycosyltransferases,Other,17,GABAergic,0.619190504,0.605522324,0.597202518,0.654846671,0.525198413,0.504695682,0.525150775
HGNC,1219,Troponin complex subunits,Other,8,GABAergic,0.618995807,0.595175848,0.61142426,0.650387313,0.52584548,0.456346488,0.486236352
HGNC,733,Secreted frizzled-related proteins,Other,5,GABAergic,0.618814899,0.633208533,0.555606808,0.667629356,0.489467362,0.510572775,0.457881674
HGNC,435,Mannosyl-glycoprotein N-acetylglucosaminyltransferases,Other,11,Glutamatergic,0.618751028,0.568127136,0.6468091,0.641316849,0.565349127,0.545171049,0.500388982
HGNC,1079,Phosphoinositide phosphatases,Other,32,GABAergic,0.618070942,0.599196596,0.607465801,0.647550429,0.568239579,0.544803685,0.491782089
HGNC,262,"G protein-coupled receptors, Class A orphans",Signaling,80,Glutamatergic,0.617251056,0.621651001,0.599089033,0.631013134,0.54102618,0.511033316,0.509415679
HGNC,1205,DASH family,Other,7,GABAergic,0.61719124,0.628087074,0.606085597,0.617401051,0.548412399,0.532234885,0.526839595
SynGO,GO:0098992,neuronal dense core vesicle,Signaling,6,GABAergic,0.617017905,0.636159109,0.552344412,0.662550194,0.551027314,0.573263627,0.493247923
HGNC,1425,G protein subunits alpha,Signaling,14,Glutamatergic,0.616127038,0.628650894,0.623422993,0.596307226,0.580746856,0.53619813,0.523398395
HGNC,173,Cholinergic receptors nicotinic subunits,Signaling,16,GABAergic,0.615805708,0.699802531,0.591936165,0.555678427,0.55283509,0.534167002,0.503946713
SynGO,GO:0099527,postsynapse to nucleus signaling pathway,Signaling,14,Glutamatergic,0.61579934,0.650910875,0.583291016,0.613196129,0.570376227,0.521606414,0.57924389
HGNC,1205,DASH family,Other,7,Glutamatergic,0.61544746,0.632915953,0.615480518,0.597945908,0.535603114,0.512328467,0.549845917
SynGO,GO:0048488,synaptic vesicle endocytosis,Signaling,28,Glutamatergic,0.615209215,0.614997424,0.584305546,0.646324676,0.553465229,0.522700845,0.518516336
HGNC,522,LIM class homeoboxes,Other,12,GABAergic,0.615160827,0.529021827,0.683078163,0.633382491,0.515177468,0.505958369,0.447238154
HGNC,1902,Neuropeptides,Signaling,70,Glutamatergic,0.614808101,0.629976799,0.603716627,0.610730877,0.548937211,0.530617271,0.65252164
HGNC,1959,HECT domain containing,Other,28,Glutamatergic,0.614793318,0.609772003,0.598041253,0.636566698,0.544154161,0.515137963,0.519265036
HGNC,278,Chloride channels,Ion Channel,36,Glutamatergic,0.613836285,0.615066988,0.585920197,0.640521671,0.566825513,0.531112033,0.513018022
HGNC,1910,Lysosome associated membrane proteins,Other,5,GABAergic,0.613617617,0.623371068,0.602116151,0.615365631,0.605886416,0.614768388,0.521612177
HGNC,180,Cholinergic receptors muscarinic,Signaling,5,GABAergic,0.613590026,0.645964198,0.562614594,0.632191287,0.571879785,0.54590478,0.626339827
HGNC,345,Type 1 receptor serine/threonine kinases,Signaling,7,Glutamatergic,0.613476876,0.627725471,0.562032561,0.650672595,0.564516724,0.533672926,0.502219532
HGNC,404,Annexins,Other,13,Glutamatergic,0.613106643,0.635364312,0.634491861,0.569463758,0.557288073,0.505425789,0.513921724
HGNC,1437,M1 metallopeptidases,Other,13,Glutamatergic,0.612966468,0.650254005,0.604563274,0.584082127,0.572925231,0.504926576,0.569787111
SynGO,GO:0098885,modification of postsynaptic actin cytoskeleton,Signaling,10,Glutamatergic,0.61283814,0.625246403,0.55485218,0.658415838,0.55651475,0.53654476,0.506847899
HGNC,622,Kinesins,Other,46,GABAergic,0.612359677,0.621347445,0.587378183,0.628353403,0.548576512,0.545981433,0.515088162
SynGO,GO:0099524,postsynaptic cytosol,Signaling,23,GABAergic,0.611574309,0.594130348,0.556598614,0.683993965,0.532613275,0.548564689,0.52923233
HGNC,572,Glypicans,Signaling,6,GABAergic,0.61125486,0.602036193,0.624870369,0.60685802,0.491482508,0.485074003,0.489912325
HGNC,1209,ATPases Ca2+ transporting,Other,9,Glutamatergic,0.611092559,0.616038091,0.563082027,0.654157559,0.527073257,0.525622245,0.498091804
HGNC,738,Serine proteases,Other,63,GABAergic,0.610936358,0.591383842,0.553920084,0.687505148,0.511271211,0.517874339,0.5281143
HGNC,1263,MBT domain containing,Other,9,Glutamatergic,0.610788773,0.640368781,0.635209626,0.556787914,0.546504144,0.509684975,0.540106682
HGNC,1540,Catenins,Other,12,Glutamatergic,0.610464553,0.604865343,0.625567083,0.600961234,0.538619608,0.513446869,0.516721058
SynGO,GO:0030672,synaptic vesicle membrane,Signaling,9,GABAergic,0.61033708,0.642902613,0.55132185,0.636786776,0.537352319,0.530126343,0.565244656
HGNC,388,"RAB, member RAS oncogene GTPases",Other,65,GABAergic,0.610215461,0.627028791,0.569590558,0.634027033,0.551945289,0.552614426,0.551015775
HGNC,263,"G protein-coupled receptors, Class B secretin-like",Signaling,48,Glutamatergic,0.60994273,0.686996149,0.57642593,0.566406112,0.514619774,0.492744807,0.483946073
HGNC,683,Plexins,Cell Adhesion,9,Glutamatergic,0.609838579,0.624387272,0.64413871,0.560989753,0.59582194,0.529735684,0.539631966
HGNC,575,Collagen proteoglycans,Other,5,GABAergic,0.609254857,0.664302139,0.486252345,0.677210088,0.440801925,0.51261579,0.419775928
HGNC,425,Beta 4-glycosyltransferases,Other,17,Glutamatergic,0.609062236,0.656857841,0.581894974,0.588433892,0.553958088,0.544210372,0.545252086
SynGO,GO:0098871,postsynaptic actin cytoskeleton,Signaling,16,Glutamatergic,0.608949825,0.604312101,0.608388901,0.614148473,0.570312482,0.51781188,0.541734687
HGNC,631,Lipocalins,Other,19,GABAergic,0.608731073,0.63065781,0.527617162,0.667918247,0.530063431,0.574114739,0.496228919
HGNC,179,Sodium channels,Ion Channel,23,Glutamatergic,0.607847198,0.675216826,0.576972258,0.57135251,0.567447357,0.524248074,0.587154763
SynGO,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,Signaling,22,GABAergic,0.607740217,0.608979691,0.57838928,0.635851678,0.549518317,0.570330271,0.502677788
HGNC,1399,SET domain containing,Other,52,Glutamatergic,0.607671183,0.616780863,0.607212013,0.599020673,0.541448001,0.50668667,0.523117619
HGNC,91,Zinc fingers ZZ-type,Other,18,Glutamatergic,0.607306772,0.605151234,0.624788503,0.591980579,0.551240343,0.519083133,0.546447864
SynGO,GO:1905274,regulation of modification of postsynaptic actin cytoskeleton,Signaling,10,Glutamatergic,0.606822423,0.630662942,0.586893638,0.60291069,0.572395587,0.537732078,0.509422331
HGNC,1201,Glutamate ionotropic receptor NMDA type subunits,Signaling,7,Glutamatergic,0.606671178,0.650464194,0.564960641,0.604588701,0.560728261,0.514186107,0.587886269
HGNC,1391,RBR E3 ubiquitin ligases,Other,14,GABAergic,0.606379558,0.623607329,0.581087355,0.61444399,0.563464176,0.571541281,0.517613038
HGNC,1280,Super elongation complex,Other,18,GABAergic,0.60636681,0.635327041,0.598429646,0.585343744,0.557810389,0.526375895,0.51098368
HGNC,868,Glycine receptors,Signaling,5,Glutamatergic,0.606364884,0.612816479,0.596087162,0.610191012,0.568141788,0.537947098,0.499135789
HGNC,626,Laminin subunits,Other,12,Glutamatergic,0.606303721,0.67565459,0.610003725,0.533252849,0.549875545,0.48664545,0.505971378
HGNC,506,Basic leucine zipper proteins,Other,52,Glutamatergic,0.604806942,0.60294244,0.592456943,0.619021442,0.544390196,0.502260801,0.549071654
SynGO,GO:0099179,regulation of synaptic membrane adhesion,Signaling,7,Glutamatergic,0.604588567,0.629117725,0.594463299,0.590184676,0.57059045,0.558396234,0.52785983
HGNC,1084,Golgins,Other,52,Glutamatergic,0.604267169,0.637870063,0.558163487,0.616767955,0.560525465,0.57196459,0.516330224
HGNC,414,P-type ATPases,Other,41,GABAergic,0.603264201,0.594184198,0.604458243,0.611150161,0.533280659,0.506747378,0.53585147
SynGO,GO:0099524,postsynaptic cytosol,Signaling,23,Glutamatergic,0.602167624,0.595448055,0.55744096,0.653613857,0.548698095,0.557287811,0.548921914
SynGO,GO:0099150,regulation of postsynaptic specialization assembly,Signaling,7,Glutamatergic,0.601879277,0.579967432,0.608368669,0.617301731,0.563317562,0.527466968,0.519750931
HGNC,1626,MARVEL domain containing,Other,28,Glutamatergic,0.601799074,0.579102031,0.65027143,0.57602376,0.572179681,0.532264684,0.577352511
HGNC,1097,"Myosins, class I",Other,8,Glutamatergic,0.601728138,0.545501415,0.63231826,0.627364738,0.527545732,0.547965455,0.519614902
SynGO,GO:0098974,postsynaptic actin cytoskeleton organization,Signaling,19,GABAergic,0.601327231,0.617187732,0.597948205,0.588845755,0.550725633,0.529524162,0.539667545
HGNC,344,Receptor serine/threonine kinase family,Signaling,12,Glutamatergic,0.60126199,0.611992579,0.563836203,0.62795719,0.555859926,0.528167653,0.510367662
HGNC,602,Interleukin receptors,Signaling,42,Glutamatergic,0.60125812,0.648350884,0.574186567,0.58123691,0.539352657,0.479397203,0.542470923
SynGO,GO:0051963,regulation of synapse assembly,Signaling,9,GABAergic,0.601171377,0.566191912,0.590929538,0.646392681,0.541492046,0.524604545,0.58253613
HGNC,1540,Catenins,Other,12,GABAergic,0.600979385,0.651784099,0.586876991,0.564277066,0.540257703,0.511251062,0.529417891
HGNC,1210,ATPase phospholipid transporting,Other,15,Glutamatergic,0.600356184,0.613081227,0.573944506,0.614042818,0.5269482,0.468969811,0.527255759
SynGO,GO:0099150,regulation of postsynaptic specialization assembly,Signaling,7,GABAergic,0.600173406,0.643657403,0.57521432,0.581648494,0.570241817,0.528410968,0.570592998
HGNC,626,Laminin subunits,Other,12,GABAergic,0.600087126,0.585373102,0.54433817,0.670550106,0.512394028,0.534130535,0.514506403
HGNC,1223,Crumbs complex,Other,9,GABAergic,0.600083841,0.59781568,0.580818835,0.621617007,0.533246316,0.525743861,0.518861518
HGNC,1641,C1q domain containing,Other,33,GABAergic,0.600028456,0.637353631,0.599650397,0.563081341,0.517752708,0.497500201,0.504754319
SynGO,GO:0099159,regulation of modification of postsynaptic structure,Signaling,8,GABAergic,0.599930316,0.655000214,0.568297684,0.57649305,0.583411967,0.567079214,0.503027617
HGNC,1671,Adaptor related protein complex 1,Other,8,GABAergic,0.599545613,0.644177259,0.571685596,0.582773985,0.584546544,0.570845751,0.495452287
HGNC,1210,ATPase phospholipid transporting,Other,15,GABAergic,0.59933301,0.587813232,0.623875983,0.586309817,0.547119229,0.524844134,0.510289448
SynGO,GO:0030672,synaptic vesicle membrane,Signaling,9,Glutamatergic,0.599057524,0.577776004,0.622943246,0.596453322,0.542251219,0.549652425,0.504435276
HGNC,1752,IPT domain containing,Other,31,Glutamatergic,0.598922499,0.612517725,0.626602929,0.557646844,0.583073923,0.515535604,0.517660806
HGNC,651,Mitogen-activated protein kinases,Signaling,13,Glutamatergic,0.598891064,0.595670144,0.556445834,0.644557214,0.545096812,0.490333744,0.517283378
SynGO,GO:0043083,synaptic cleft,Signaling,14,GABAergic,0.59865819,0.598374547,0.553849704,0.643750318,0.529854483,0.530347184,0.529651655
HGNC,87,Zinc fingers MYND-type,Other,21,Glutamatergic,0.598651255,0.638932557,0.597590277,0.559430931,0.569645272,0.483269016,0.531457749
HGNC,558,F-box and leucine rich repeat proteins,Other,21,GABAergic,0.598522683,0.679757842,0.596113554,0.519696654,0.605008473,0.488053816,0.506885767
HGNC,602,Interleukin receptors,Signaling,42,GABAergic,0.598360566,0.610133083,0.55941222,0.625536396,0.522245051,0.520698051,0.480890653
HGNC,868,Glycine receptors,Signaling,5,GABAergic,0.598357669,0.645931658,0.587900913,0.561240435,0.556550322,0.518635116,0.554556763
HGNC,1198,Ras association domain family,Other,10,GABAergic,0.598344503,0.580538157,0.607401792,0.60709356,0.567979544,0.528120385,0.521428565
HGNC,1489,LHFPL tetraspan proteins,Other,6,Glutamatergic,0.598004849,0.626499339,0.625363109,0.542152099,0.562789211,0.51596107,0.509184275
HGNC,1372,C1q and TNF related ,Other,18,Glutamatergic,0.597384869,0.543082589,0.570623044,0.678448974,0.540316098,0.533999229,0.483716736
SynGO,GO:0060078,regulation of postsynaptic membrane potential,Signaling,5,Glutamatergic,0.597278979,0.567535885,0.611970626,0.612330427,0.558852373,0.515398696,0.615384952
HGNC,181,Dopamine receptors,Signaling,5,GABAergic,0.597019376,0.625527566,0.517687023,0.647843539,0.515508011,0.459825842,0.42944471
HGNC,1961,Protein coats,Other,48,Glutamatergic,0.596881573,0.594229273,0.612826292,0.583589153,0.564910258,0.506283422,0.509982722
HGNC,683,Plexins,Cell Adhesion,9,GABAergic,0.59677309,0.608478208,0.59386468,0.587976383,0.568199748,0.528295597,0.549492171
SynGO,GO:0098810,neurotransmitter reuptake,Signaling,5,GABAergic,0.596388919,0.560110548,0.610146215,0.618909993,0.553953167,0.488556921,0.495331418
HGNC,702,HAD Asp-based protein phosphatases,Other,14,GABAergic,0.596131492,0.610300588,0.554799311,0.623294579,0.496047967,0.492464603,0.507657487
HGNC,996,Deubiquinating enzymes,Other,87,Glutamatergic,0.595572077,0.615740313,0.555481455,0.615494465,0.53001743,0.5182327,0.511652446
SynGO,GO:0098693,regulation of synaptic vesicle cycle,Signaling,13,Glutamatergic,0.595063062,0.59149488,0.58370106,0.609993245,0.547076818,0.510303747,0.545331651
HGNC,624,Kruppel like factors,Other,18,GABAergic,0.594512658,0.581699592,0.496000994,0.705837387,0.513683509,0.555061096,0.503492776
HGNC,412,ATPases,Other,142,GABAergic,0.594257444,0.606387824,0.588250073,0.588134435,0.536802881,0.510734736,0.526361907
SynGO,GO:0099091,"postsynaptic specialization, intracellular component",Signaling,9,GABAergic,0.593957424,0.58481328,0.592411361,0.604647631,0.578421577,0.558761859,0.515766052
HGNC,948,Toll like receptors,Signaling,10,GABAergic,0.593736756,0.692628678,0.593494867,0.495086724,0.554666206,0.518725478,0.521130443
HGNC,573,Small leucine rich repeat proteoglycans,Other,12,Glutamatergic,0.593164083,0.62968153,0.564012856,0.585797862,0.505034529,0.545767402,0.485052337
SynGO,GO:0098919,structural constituent of postsynaptic density,Signaling,11,Glutamatergic,0.593138844,0.614087844,0.583012063,0.582316626,0.546992733,0.514387073,0.553492164
SynGO,GO:0098885,modification of postsynaptic actin cytoskeleton,Signaling,10,GABAergic,0.592624772,0.589699997,0.568108827,0.620065491,0.554956963,0.524902193,0.521728524
HGNC,750,SMAD family,Other,8,Glutamatergic,0.592337322,0.598031783,0.583696279,0.595283904,0.555249138,0.543399066,0.532041411
HGNC,870,Minor histocompatibility antigens,Other,51,Glutamatergic,0.592151587,0.616918381,0.569684299,0.589852083,0.541371236,0.522231299,0.50330842
HGNC,255,Potassium calcium-activated channels,Ion Channel,6,Glutamatergic,0.591876179,0.540150245,0.610603446,0.624874847,0.561864423,0.546502792,0.563596176
HGNC,1083,HAD Asp-based phosphatases,Other,28,GABAergic,0.591832062,0.605419739,0.555853043,0.614223406,0.499052005,0.493064963,0.508374746
HGNC,366,Ubiquitin specific peptidases,Other,56,Glutamatergic,0.59164499,0.612471654,0.552610702,0.609852612,0.533382264,0.512346309,0.512884551
HGNC,622,Kinesins,Other,46,Glutamatergic,0.591633217,0.58616215,0.610856175,0.577881327,0.53503911,0.512681837,0.519988318
HGNC,950,Gelsolin/villins,Other,8,Glutamatergic,0.591561739,0.544289845,0.569164244,0.661231127,0.503480348,0.477764124,0.468099758
HGNC,738,Serine proteases,Other,63,Glutamatergic,0.591512508,0.559253728,0.618915231,0.596368563,0.504525172,0.511839906,0.521790324
